Symbol,Signal,Type,EntryTime,Macro,Phase,Month,PnL_USD,ExitReason,BarsHeld
BTCUSDT,LiquiditySweepLong,LONG,2025-07-04T09:00:00.000Z,FLAT,TRAIN,2025-07,-0.74,STOP,4
BTCUSDT,LiquiditySweepLong,LONG,2025-07-04T17:00:00.000Z,FLAT,TRAIN,2025-07,1.15,TP1,52
BTCUSDT,LiquiditySweepLong,LONG,2025-07-07T18:00:00.000Z,FLAT,TRAIN,2025-07,-0.52,STOP,8
BTCUSDT,LiquiditySweepLong,LONG,2025-07-08T03:00:00.000Z,FLAT,TRAIN,2025-07,1.03,TP1,33
BTCUSDT,LiquiditySweepLong,LONG,2025-07-17T13:00:00.000Z,FLAT,TRAIN,2025-07,1.50,TP1,8
BTCUSDT,LiquiditySweepLong,LONG,2025-07-18T20:00:00.000Z,FLAT,TRAIN,2025-07,0.68,TP1,14
BTCUSDT,LiquiditySweepLong,LONG,2025-07-19T22:00:00.000Z,FLAT,TRAIN,2025-07,-0.73,STOP,24
BTCUSDT,LiquiditySweepLong,LONG,2025-07-24T08:00:00.000Z,FLAT,TRAIN,2025-07,-1.61,STOP,18
BTCUSDT,LiquiditySweepLong,LONG,2025-07-28T19:00:00.000Z,FLAT,TRAIN,2025-07,-0.83,STOP,21
BTCUSDT,LiquiditySweepLong,LONG,2025-07-29T17:00:00.000Z,FLAT,TRAIN,2025-07,-0.97,STOP,25
BTCUSDT,LiquiditySweepLong,LONG,2025-07-30T20:00:00.000Z,FLAT,TRAIN,2025-07,-1.40,STOP,27
BTCUSDT,LiquiditySweepLong,LONG,2025-08-01T09:00:00.000Z,FLAT,TRAIN,2025-08,-0.98,STOP,9
BTCUSDT,LiquiditySweepLong,LONG,2025-08-02T20:00:00.000Z,UP,TRAIN,2025-08,1.48,TP1,23
BTCUSDT,LiquiditySweepLong,LONG,2025-08-05T13:00:00.000Z,UP,TRAIN,2025-08,-1.03,STOP,1
BTCUSDT,LiquiditySweepLong,LONG,2025-08-11T22:00:00.000Z,UP,TRAIN,2025-08,1.51,TP1,39
BTCUSDT,LiquiditySweepLong,LONG,2025-08-14T17:00:00.000Z,UP,TRAIN,2025-08,-0.73,STOP,22
BTCUSDT,LiquiditySweepLong,LONG,2025-08-15T16:00:00.000Z,UP,TRAIN,2025-08,-0.74,STOP,57
BTCUSDT,LiquiditySweepLong,LONG,2025-08-18T04:00:00.000Z,UP,TRAIN,2025-08,-0.71,STOP,5
BTCUSDT,LiquiditySweepLong,LONG,2025-08-18T10:00:00.000Z,UP,TRAIN,2025-08,0.90,TP1,7
BTCUSDT,LiquiditySweepLong,LONG,2025-08-19T20:00:00.000Z,UP,TRAIN,2025-08,-0.98,STOP,18
